"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","84.1","-125","Top","180"
"C2","101.9","-126.5","Top","-90"
"D1","98.6","-121","Top","180"
"R1","97.1","-118.5","Top","-90"
"C5","79.6","-125.25","Top","0"
"R5","100.6","-131.5","Top","-90"
"Q2","85.6","-140","Top","405"
"U1","92.6","-126","Top","360"
"C4","87.6","-125","Top","180"
"D2","99.6","-116.5","Top","0"
"Q1","95.1","-138","Top","315"
"C6","79.6","-123","Top","0"
"R6","93.1","-143","Top","0"
"R4","99.6","-118","Top","0"
"C9","98.6","-133.5","Top","45"
"C3","83.6","-130.52","Top","-90"
"U3","87.6","-122","Top","270"
"R3","77.6","-135.5","Top","90"
"U2","98.6","-126.5","Top","180"
"D3","85.1","-128","Top","0"
"R2","78.9","-135.5","Top","90"
"C8","80","-137.5","Top","90"
"U4","79.6","-130.5","Top","180"
"C7","79.6","-120.75","Top","0"
"U5","84.1","-122","Top","270"
